Year,CO2,CH4,UVA,Temp,SF6
200801,392.5,1900,0.38,-1.7,6.6
200802,393.5,1909,0.6,-1.2,6.4
200803,394.6,1913,0.76,7.3,6.5
200804,395.2,1901,0.89,14.1,6
200805,393.9,1893,1.02,17.7,6.6
200806,390.5,1896,1.04,21.5,6.9
200807,385.7,1840,0.92,25.1,6.8
200808,382.8,1844,1.14,25.3,6.7
200809,384.8,1856,0.88,22,6.2
200810,389.2,1901,0.64,16.1,6.4
200811,392.3,1910,0.43,7.6,7
200812,393.7,1910,0.32,1.1,7.1
200901,394.4,1906,0.41,-2,7
200902,395.2,1916,0.46,2.9,7.2
200903,396.4,1910,0.76,6,7.1
200904,397,1906,0.96,12.7,7.3
200905,395.4,1895,1.09,19.1,7.3
200906,391.6,1881,1.12,22.4,7.3
200907,387.3,1869,1.05,24.3,7.4
200908,384.9,1879,1.05,25.7,7.4
200909,386.8,1908,0.91,21.8,7.4
200910,391.6,1909,0.73,16,7.2
200911,394.9,1905,0.41,6.9,7.4
200912,396,1915,0.31,-1,7.2
201001,397.1,1918,0.37,-4.5,7.5
201002,397.9,1913,0.45,1.4,7.1
201003,398,1920,0.6,4.3,7.5
201004,398.3,1907,0.84,9.5,7.8
201005,397.8,1884,0.99,17.2,7.8
201006,394.8,1902,1.08,23.4,7.9
201007,390.3,1851,1.03,25.8,7
201008,387.8,1863,0.9,26.5,6.8
201009,389.5,1918,0.78,21.8,7.2
201010,393.6,1913,0.63,14.5,8.4
201011,396.6,1912,0.45,6.5,8.6
201012,397.6,1917,0.34,-1.3,8.4
201101,398.6,1911,0.42,-7.2,8.3
201102,399.4,1922,0.51,1.2,8
201103,399.8,1907,0.77,3.6,7.7
201104,400.5,1906,0.85,10.7,7.6
201105,400,1903,0.89,17.9,7.7
201106,396.9,1895,0.9,22,7.8
201107,392.1,1877,0.79,24.6,8.2
201108,388.8,1870,0.78,25.8,7.9
201109,390.9,1925,0.84,21.8,8.3
201110,395.9,1919,0.63,14.2,8.2
201111,398.6,1920,0.39,10.7,8.7
201112,399.9,1925,0.33,-0.9,8.7
201201,401.3,1929,0.36,-2.8,8.1
201202,402.2,1931,0.57,-2,7.9
201203,403.4,1932,0.63,5.1,8
201204,404.3,1918,0.85,12.3,8
201205,403.2,1927,1.04,19.7,8.3
201206,399.6,1906,1.13,24.1,7.9
201207,394.9,1878,1.02,25.4,7.8
201208,392.2,1881,0.87,27.1,8.4
201209,393.9,1927,0.77,21,8.4
201210,398.9,1929,0.65,15.3,8.2
201211,402.3,1933,0.38,5.5,8.2
201212,403.1,1943,0.32,-4.1,8.1
201301,404.2,1948,0.35,-3.4,8.1
201302,405.3,1953,0.5,-1.2,8.1
201303,406,1948,0.74,5.1,8.2
201304,406.8,1932,0.83,10,8.2
201305,405.5,1932,0.97,18.2,8.2
201306,401.9,1931,1.09,24.4,8.4
201307,397.9,1892,0.78,25.5,8.2
201308,394.8,1885,1.01,27.7,8.2
201309,396.3,1931,0.78,21.8,8.2
201310,400.8,1940,0.66,15.8,8.4
201311,403.9,1937,0.38,6.2,8.4
201312,405.6,1942,0.29,-0.2,8.3
201401,406.6,1944,0.36,-0.7,8.4
201402,407.7,1953,0.49,1.9,8.7
201403,409.2,1943,0.66,7.9,8.5
201404,409.1,1938,0.81,14,9.1
201405,407.5,1941,1.09,18.9,9.4
201406,404.3,1939,1.14,23.1,9.6
201407,399.3,1885,0.99,26.1,9.5
201408,396.9,1910,0.79,25.2,9.7
201409,398.9,1962,0.81,22.1,9.7
201410,402.6,1952,0.61,15.6,9.5
201411,405.8,1964,0.41,9,9.3
201412,407.8,1962,0.31,-2.9,8.9
201501,409.2,1970,0.36,-0.9,8.9
201502,410.2,1961,0.47,1,9.2
201503,410.6,1954,0.76,6.3,9.3
201504,411.1,1952,0.81,13.3,9.2
201505,410,1937,1.1,18.9,9.1
201506,406.3,1942,1.09,23.6,9.2
201507,402,1925,0.94,25.8,9.1
201508,399.2,1906,0.98,26.3,9.8
201509,400.8,1972,0.88,22.4,9.5
201510,405.5,1956,0.6,15.5,8.9
201511,409,1979,0.3,8.9,9.8
201512,410.4,1970,0.3,1.6,9.4
201601,411.4,1967,0.34,-3.2,9.4
201602,412.4,1964,0.47,0.2,9.3
201603,413.7,1968,0.69,7,9.3
201604,414.2,1965,0.8,14.1,9.6
201605,412.8,1966,1.05,19.6,9.6
201606,409.1,1960,1.03,23.6,9.8
201607,404.5,1929,0.94,26.2,9.5
201608,402.1,1920,1.02,28,9.2
201609,404.3,1984,0.72,23.1,9.3
201610,408.8,1991,0.5,16.1,
201611,411.8,1991,0.37,6.8,9.4
201612,413.2,1980,0.3,1.2,9.5
201701,413.5,1984,0.34,-1.8,9.1
201702,414.5,1972,0.49,-0.2,9.4
201703,415.8,1975,0.7,6.3,9.6
201704,416.3,1966,0.86,13.9,9.3
201705,415.2,1962,1.02,19.5,9.7
201706,412.1,1955,1.28,23.3,9.8
201707,408,1951,0.85,26.9,9.8
201708,405.1,1958,0.97,25.9,9.7
201709,406.1,1979,0.81,22.1,9.7
201710,410.3,1977,0.54,16.4,9.7
201711,414.1,1977,0.38,5.6,9.7
201712,415.7,1987,0.29,-1.9,9.8
201801,416.8,1983,0.33,-4,9.7
201802,418,1981,0.46,-1.6,9.7
201803,419.1,1983,0.6,8.1,9.7
201804,419.7,1969,0.75,13,9.8
201805,417.7,1972,0.82,18.2,9.8
201806,414.1,1964,1.1,23.1,9.9
201807,410.2,1948,0.98,27.8,9.7
201808,407,1951,1.15,28.8,9.8
201809,408.9,1981,0.91,21.5,9.8
201810,414.2,1981,0.68,13.1,9.8
201811,417.7,1988,0.42,7.8,9.9
201812,418.4,1989,0.36,-0.6,9.9
201901,419,1998,0.42,-0.9,10.1
201902,420,2002,0.54,1,10.1
201903,421.1,1989,0.73,7.1,10.1
201904,422,1970,0.87,12.1,10.2
201905,420.5,1984,1.21,19.4,10.4
201906,416.8,1993,1.2,22.5,10.5
201907,413.6,1958,0.99,25.9,10.3
201908,411.8,1979,1.14,27.2,10.3
201909,412.8,2011,0.74,22.6,10.3
201910,416.2,1998,0.66,16.4,10.4
201911,419.3,1998,0.44,7.6,10.3
201912,421.2,2013,0.32,1.4,10.4
